image,mean_cls,median_cls,gt_mean_agg_top_6_cls,,gt_median_agg_top_6_cls,,grad_max_mean_agg_top_6_cls,,grad_max_median_agg_top_6_cls,,relu_mean_mean_agg_top_6_cls,,relu_mean_median_agg_top_6_cls,
1111111111 (1).JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000069.JPEG,1,1,0,1,0,1,0,1,0,1,0,1,0,1
1111111111 (2).JPEG,3,1,2,1,1,2,3,0,0,3,3,0,2,1
0000000005.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000003.JPEG,3,3,1,2,1,2,1,2,2,1,2,1,2,1
0000000002.JPEG,0,0,0,0,0,0,1,-1,2,-2,0,0,0,0
0000000004.JPEG,2,3,1,1,0,2,2,0,3,-1,3,-1,5,-3
00000003.JPEG,1,1,0,1,1,0,0,1,0,1,0,1,1,0
0000000001.JPEG,1,2,1,0,1,0,1,0,1,0,1,0,0,1
00000102.JPEG,2,2,1,1,0,2,2,0,0,2,2,0,2,0
00000009.JPEG,2,2,1,1,1,1,3,-1,4,-2,3,-1,2,0
00000001.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000555.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000024.JPEG,3,2,2,1,3,0,1,2,4,-1,3,0,2,1
00000106.JPEG,2,2,2,0,2,0,2,0,2,0,2,0,2,0
00000112.JPEG,1,0,0,1,0,1,0,1,1,0,1,0,0,1
00000018.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000061.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
00000151.JPEG,0,1,0,0,1,-1,0,0,1,-1,1,-1,1,-1
00000279.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000327.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000082.JPEG,1,1,1,0,2,-1,2,-1,2,-1,2,-1,2,-1
00000032.JPEG,6,7,5,1,5,1,6,0,7,-1,5,1,6,0
00000052.JPEG,3,2,3,0,3,0,4,-1,3,0,2,1,3,0
,1.291666667,1.25,0.833333333,0.458333333,0.875,0.416666667,1.166666667,3,1.333333333,-1,1.25,1,1.291666667,0
,1,1,0,,0,,0.5,,0.5,,1,,1,
,2.302536232,2.543478261,1.536231884,,1.679347826,,2.492753623,,3.275362319,,2.02173913,,2.650362319,
