image,mean_grad_rollout_12_heads,max_grad_rollout_12_heads,max_grad_rollout_6_heads,,mean_grad_rollout_6_heads,,mean_relu_grad_rollout_12_heads,mean_relu_grad_rollout_6_heads
1111111111 (1).JPEG,0,0,0,0,0,0,0,0
00000069.JPEG,0,0,0,0,0,0,0,0
1111111111 (2).JPEG,0,1,0,0,0,0,0,0
0000000005.JPEG,0,0,0,0,0,0,0,0
0000000003.JPEG,0,0,0,0,0,0,0,0
0000000002.JPEG,0,0,0,0,0,0,0,0
0000000004.JPEG,0,0,0,0,0,0,0,0
00000003.JPEG,0,0,1,-1,0,0,0,0
0000000001.JPEG,0,1,1,-1,0,0,0,0
00000102.JPEG,0,0,0,0,0,0,0,0
00000009.JPEG,3,4,3,0,1,2,3,1
00000001.JPEG,0,0,0,0,0,0,0,0
00000555.JPEG,0,0,0,0,0,0,0,0
00000024.JPEG,1,2,4,-3,4,-3,1,4
00000106.JPEG,0,1,1,-1,1,-1,0,1
00000112.JPEG,0,0,0,0,0,0,0,0
00000018.JPEG,0,0,0,0,0,0,0,0
00000061.JPEG,0,0,0,0,0,0,0,0
00000151.JPEG,1,1,0,1,1,0,1,1
00000279.JPEG,0,0,0,0,0,0,0,0
00000327.JPEG,0,0,0,0,0,0,0,0
00000082.JPEG,2,2,2,0,2,0,2,2
00000032.JPEG,3,3,4,-1,4,-1,3,4
00000052.JPEG,2,2,2,0,2,0,2,2
,0.5,0.708333333,0.75,,0.625,,0.5,0.625
,0.956521739,,,,1.461956522,,,
,0,,,,0,,,
